propuestas,organizador,facultad,nombre
"Crear un programa de eficiencia energética en los edificios de la Universidad de Diseño, Innovación y Tecnología","Saturnino Gomis-Galvez",Agronomía,"Universidad Francisco de Vitoria"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de Barcelona","Lope de Duran","Ciencias Sociales","Universidad Internacional Isabel I de Castilla"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Fernando III","Salomón Grande-Sans","Educación Física","Universidad de Jaén"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de Mondragón","Melisa Rodriguez Barrena",Filosofía,"Universidad Alfonso X el Sabio"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Pompeu Fabra","Antonia del Navarrete",Química,"Universidad Autónoma de Madrid"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Alfonso X el Sabio","Eusebio Lopez Bernal","Educación Física","Universidad Francisco de Vitoria"
"Hacer un huerto en Universidad Ramon Llull","Yésica Bru Pol",Humanidades,"Universidad CEU Cardenal Herrera"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Autónoma de Barcelona","Chuy Solana Carlos",Química,"Universidad de Jaén"
"Hacer un huerto en Universidad de Valladolid","Cándida Sureda",Humanidades,"Universidad de Huelva"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de Santiago de Compostela","Pastor del Salvà",Comunicación,"Universidad de La Rioja"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad CEU San Pablo","Heraclio Porta",Información,"Universidad Tecnológica Atlántico-Mediterráneo"
"Mejorar el sistema de consulta de fondos de la biblioteca de la European University Vitoria-Gasteiz","Clotilde Tur Juárez","Ciencias Económicas","Universidad Nacional de Educación a Distancia"
"Promover curso de capacitación profesionales Universidad IE","Victor Arribas Montalbán",Comunicación,"Universidad de Mondragón"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de La Coruña","Ciro Canet","Ciencias de la Salud","Universidad Internacional de Valencia"
"Promover cursos de lenguas extranjeras Universidad Rey Juan Carlos","Custodio Porta Manuel",Humanidades,"Universidad Internacional de la Empresa"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de Barcelona","Maximiano Moreno Serna",Matemática,"Universidad Rey Juan Carlos"
"Hacer un huerto en Universidad CEU Cardenal Herrera","Rosalina Pavón Alcalde","Ciencias Físicas y Matemáticas","Universidad Miguel Hernández de Elche"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Tecnológica Atlántico-Mediterráneo","Pío Acosta Maldonado","Educación Física","Universidad de Diseño, Innovación y Tecnología"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Intercontinental de la Empresa","Amancio Pascual Arcos","Ciencias de la Educación","Universidad Camilo José Cela"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de Gerona","Casandra Portillo-Blazquez","Ciencias Físicas y Matemáticas","Universidad de La Laguna"
"Promover curso de capacitación profesionales Universidad de La Laguna","Lupe Alberola Ángel","Ciencias Físicas y Matemáticas","Universidad Europea de Madrid"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Internacional Isabel I de Castilla","Manuela Arias-Sanmiguel",Ingeniería,"Universidad de Alcalá"
"Hacer un huerto en Universidad Loyola Andalucía","Lupe Trujillo-Seco",Filosofía,"Universidad Internacional de la Empresa"
"Promover cursos de lenguas extranjeras Universidad de Valladolid","Aristides Salvà Fuster",Diseño,"Universidad de Alcalá"
"Promover el deporte en la vida universitaria Universidad Politécnica de Valencia","Humberto Rosell Mínguez","Ciencias de la Educación","Universidad de Vigo"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de La Rioja","Filomena Ponce Cortina",Comunicación,"Universidad de Barcelona"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de Granada","Bartolomé Querol-Matas","Ciencias Exactas","Universidad Tecnológica Atlántico-Mediterráneo"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de La Laguna","Fernando Porras-Cárdenas",Información,"Universidad Internacional de Cataluña"
"Hacer un huerto en Universidad Europea de Valencia","Teófilo Omar Rojas Ferreras",Diseño,"Universidad de Jaén"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de León","Tadeo Ramírez Berenguer","Ciencias de la Educación","Universidad de La Laguna"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Pontificia Comillas","Jenny Machado Zorrilla","Ciencias Físicas y Matemáticas","Universidad de Navarra"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Tecnológica Atlántico-Mediterráneo","Judith Barrio Álamo",Química,"Universidad de Barcelona"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de Salamanca","Moisés Téllez Sanmiguel",Agronomía,"Universidad Europea Miguel de Cervantes"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Pablo de Olavide","María Manuela Aguilar-Murillo",Diseño,"Universidad de Barcelona"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Politécnica de Madrid","Rosa María Pinedo-Cases",Comunicación,"Universidad Internacional de La Rioja"
"Promover curso de capacitación profesionales Universidad de Vigo","Amarilis Luna Luís",Ingeniería,"Universidad de Deusto"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad de Cantabria","Hector Nico Mesa Herrero","Ciencias Exactas","Universidad CEU San Pablo"
"Crear un programa de eficiencia energética en los edificios de la Universidad Internacional Villanueva","Carolina de Riera",Odontología,"Universidad Ramon Llull"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de Alcalá","Mercedes de Sánchez",Medicina,"Universidad Autónoma de Madrid"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad de Vigo","Regina Luján Asenjo",Psicología,"Universidad Complutense de Madrid"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de Navarra","Norberto Cuéllar Nevado","Educación Física","Universidad Internacional Menéndez Pelayo"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Carlos III de Madrid","Celestina Portero-Querol",Arquitectura,"Universidad Católica Santa Teresa de Jesús de Ávila"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad Europea de Madrid","Alberto Jordán Barriga Valverde",Derecho,"Universidad Abierta de Cataluña"
"Promover curso de capacitación profesionales Universidad de Valladolid","Armando Zamora Montero","Ciencias de la Educación","Universidad de Sevilla"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Politécnica de Valencia","Albano Heraclio Chacón Calderón",Matemática,"Universidad de Mondragón"
"Quitar las nuevas vallas de los jardines entre facultades Universidad San Jorge","Asunción Bellido",Psicología,"Universidad Francisco de Vitoria"
"Promover el deporte en la vida universitaria Universidad Internacional Villanueva","Ambrosio Girón Carvajal",Información,"Universidad Politécnica de Cataluña"
"Crear un programa de eficiencia energética en los edificios de la Universidad Pontificia de Salamanca","Anselmo de Castrillo","Ciencias Sociales","Universidad de Granada"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad de Las Palmas de Gran Canaria","Maite Feliu-Juan",Matemática,"Universidad de Lérida"
"Promover cursos de lenguas extranjeras Universidad de Almería","Sebastián Juliá Menéndez","Ciencias de la Educación","Universidad de Vigo"
"Crear un programa de eficiencia energética en los edificios de la Universidad Eclesiástica San Dámaso","Alcides Arellano Verdugo","Ciencias de la Educación","Universidad de Diseño, Innovación y Tecnología"
"Hacer un huerto en Universidad Internacional Isabel I de Castilla","Marcelino Barriga Menendez","Ciencias Sociales","Universidad Politécnica de Valencia"
"Crear un programa de eficiencia energética en los edificios de la Universidad de La Laguna","Guadalupe Neira-Lobato",Medicina,"Universidad de Alcalá"
"Promover curso de capacitación profesionales Universidad de La Laguna","Geraldo Vergara",Diseño,"Universidad Fernando Pessoa-Canarias"
"Crear un programa de eficiencia energética en los edificios de la Universidad de Barcelona","Josué Cárdenas Oliva",Medicina,"Universidad de Burgos"
"Quitar las nuevas vallas de los jardines entre facultades Universidad de La Rioja","Humberto de España","Educación Física","Universidad de Valencia"
"Crear un programa de eficiencia energética en los edificios de la Universidad Politécnica de Cataluña","Flora Camps Belda",Psicología,"Universidad CEU Cardenal Herrera"
"Promover curso de capacitación profesionales Universidad de Granada","Wilfredo Lopez Figueras","Ciencias de la Educación","Universidad de Jaén"
"Promover curso de capacitación profesionales Universidad de Alcalá","Fernanda Piquer Pulido",Arquitectura,"Universidad de Oviedo"
"Crear un programa de eficiencia energética en los edificios de la Universidad de Almería","Gisela Blanch-Vallejo","Ciencias Económicas","Universidad Tecnológica Atlántico-Mediterráneo"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad de Extremadura","Angelina Echevarría Alcalde","Ciencias de la Educación","Universidad Pompeu Fabra"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos CUNEF Universidad","Brunilda Antón","Ciencias Económicas","Universidad Francisco de Vitoria"
"Promover curso de capacitación profesionales Universidad Rey Juan Carlos","Olalla Mónica Crespi Herranz",Filosofía,"Universidad Rey Juan Carlos"
"Promover curso de capacitación profesionales Universidad de Deusto","Delia Manzano Bayona",Filosofía,"Universidad de Burgos"
"Promover el deporte en la vida universitaria Universidad Jaime I","Gloria Iglesias","Ciencias Físicas y Matemáticas","Universidad de Salamanca"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Sevilla","Pili Perea Pardo",Diseño,"Universidad Pablo de Olavide"
"Crear un método de comunicación efectivo entre los órganos directivos y de gestión de los estudiantes y la Universidad Autónoma de Barcelona","Gil Egea Gil",Arquitectura,"Universidad de Oviedo"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad Autónoma de Madrid","Moreno Boix Galiano",Veterinaria,"Universidad Francisco de Vitoria"
"Promover curso de capacitación profesionales Universidad Abad Oliva CEU","Poncio de Moliner",Ingeniería,"Universidad Internacional Villanueva"
"Mejorar el sistema de consulta de fondos de la biblioteca de la Universidad Internacional Isabel I de Castilla","Maxi Prieto","Ciencias Económicas","Universidad de Vigo"
"Hacer un huerto en Universidad Loyola Andalucía","Albano Mayol Viñas",Información,"Universidad de La Coruña"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad de Almería","Rosalía Sarabia Piña","Ciencias Exactas","Universidad a Distancia de Madrid"
"Promover curso de capacitación profesionales Universidad Católica Santa Teresa de Jesús de Ávila","Ainara Balaguer Carlos",Humanidades,"Universidad Carlos III de Madrid"
"Mejorar el pavimento de las pistas e instalaciones deportivas de la Universidad Politécnica de Cartagena","Rosenda Zamorano Gómez",Medicina,"Universidad de Lérida"
"Promover curso de capacitación profesionales Universidad de Santiago de Compostela","Eugenio Fuertes Rubio",Química,"Universidad Internacional de Cataluña"
"Hacer un huerto en Universidad de Sevilla","Fortunata Laura Pont Paredes",Química,"Universidad Europea del Atlántico"
"Promover programas de integración para futuros estudiantes con riesgo de fracaso escolar en institutos Universidad de Lérida","Isabel Raquel Puga Infante","Ciencias Exactas","Universidad de Santiago de Compostela"
"Hacer un huerto en Universidad de Oviedo","Maxi Abella",Diseño,"Universidad Católica Santa Teresa de Jesús de Ávila"
"Crear un programa de eficiencia energética en los edificios de la Universidad de Lérida","Baldomero del Avilés","Ciencias de la Salud","Universidad Internacional de Cataluña"
"Quitar el límite horario en bibliotecas y hacerlas espacios de estudio 24h Universidad de Diseño, Innovación y Tecnología","Florentino Velázquez Ibáñez","Ciencias Físicas y Matemáticas","Universidad de Burgos"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Autónoma de Barcelona","Paloma Arribas",Humanidades,"Universidad Pontificia Comillas"
"Promover curso de capacitación profesionales Universidad de Santiago de Compostela","Iker Priego Patiño",Arquitectura,"Universidad de Deusto"
"Promover cursos de lenguas extranjeras Universidad Internacional de La Rioja","Serafina Ortuño Estevez",Matemática,"Universidad de Santiago de Compostela"
"Promover cursos de lenguas extranjeras Universidad Pontificia de Salamanca","Román Colom Miralles","Ciencias Físicas y Matemáticas","Universidad de Vich"
"Promover curso de capacitación profesionales Universidad Antonio de Nebrija","Iris Santamaría Castillo",Diseño,"Universidad Europea del Atlántico"
"Quitar las nuevas vallas de los jardines entre facultades Universidad Rovira i Virgili","Sigfrido Ibañez Daza",Matemática,"Universidad IE"
"Hacer un huerto en Universidad Pontificia Comillas","Chema Solera-Olivares","Ciencias de la Salud","Universidad Internacional Menéndez Pelayo"
"Promover curso de capacitación profesionales Universidad de Castilla-La Mancha","Amando Acero Palau",Comunicación,"Universidad Camilo José Cela"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias de la Educación Universidad de Diseño, Innovación y Tecnología","Albino Roselló Carreño",Ingeniería,"Universidad de Gerona"
"Mejorar Instalaciones deportivas facultad de Medicina Universidad Antonio de Nebrija","Anna del Sarabia",Química,"Universidad Eclesiástica San Dámaso"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Información CUNEF Universidad","Ricardo Falcó Rosselló","Ciencias de la Salud","Universidad de Gerona"
"Quitar las restricciones al acceso a instalaciones deportivas Humanidades Universidad de Jaén","Leoncio Tenorio-Sáenz",Diseño,"Universidad de Vigo"
"Quitar las tarifas de pago en el parking de estudiantes Medicina Universidad Miguel Hernández de Elche","Berto Domingo Guillén Lasa","Ciencias Exactas","Universidad Politécnica de Cataluña"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Derecho Universidad Internacional Isabel I de Castilla","Odalis Sebastián Tirado",Agronomía,"Universidad de Alicante"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Comunicación ESIC Universidad","Rico Murillo",Derecho,"Universidad Católica San Antonio"
"Quitar las tarifas de pago en el parking de estudiantes Agronomía Universidad de Vich","Rosalina Iborra Pino",Veterinaria,"Universidad de Jaén"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Derecho Universidad de La Rioja","Ricardo Tolosa Villanueva",Agronomía,"Universidad Autónoma de Madrid"
"Mejorar Instalaciones deportivas facultad de Ciencias de la Salud Universidad de Alcalá","Máxima Díaz Santamaria","Educación Física","Universidad Politécnica de Cataluña"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias de la Salud European University Vitoria-Gasteiz","Bárbara Frías Correa",Diseño,"Universidad Internacional de Valencia"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Arquitectura Universidad de Vich","Josué del Valenzuela","Ciencias Económicas","Universidad de La Laguna"
"Quitar las restricciones al acceso a instalaciones deportivas Psicología Universidad Politécnica de Madrid","Amando de Duque",Psicología,"CUNEF Universidad"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Ingeniería Universidad de Jaén","Fidela Ayala Mármol",Medicina,"Universidad de las Islas Baleares"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Arquitectura Universidad de Huelva","Jenaro Rovira Corominas",Odontología,"Universidad Pontificia de Salamanca"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Arquitectura Universidad Politécnica de Madrid","Erasmo Alcázar",Química,"Universidad de Murcia"
"Mejorar Instalaciones deportivas facultad de Agronomía Universidad Rey Juan Carlos","Jose Angel Galiano Valdés",Odontología,"CUNEF Universidad"
"Mejorar Instalaciones deportivas facultad de Ciencias Exactas CUNEF Universidad","Calisto Sedano Ricart",Humanidades,"Universidad de Almería"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias Sociales Universidad de Burgos","María Teresa Cabo Juliá",Química,"Universidad de Salamanca"
"Quitar las tarifas de pago en el parking de estudiantes Humanidades Universidad Politécnica de Madrid","Severino del Rozas","Ciencias Exactas","Universidad de Jaén"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias Sociales Universidad Pontificia de Salamanca","Celia Macias Moya",Arquitectura,"Universidad de La Coruña"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Agronomía Universidad Ramon Llull","Eva Alvarado Valle","Ciencias Sociales","Universidad de Extremadura"
"Mejorar Instalaciones deportivas facultad de Matemática Universidad Internacional de La Rioja","Omar de Ayllón","Ciencias Físicas y Matemáticas","Universidad Politécnica de Valencia"
"Quitar las tarifas de pago en el parking de estudiantes Ciencias Exactas Universidad Antonio de Nebrija","Ramona del Ibáñez",Agronomía,"Universidad Pontificia Comillas"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Diseño Universidad Europea Miguel de Cervantes","Federico Girona Roma",Matemática,"Universidad Fernando Pessoa-Canarias"
"Mejorar Instalaciones deportivas facultad de Comunicación Universidad Internacional de Cataluña","Santiago de Valdés",Derecho,"Universidad Nacional de Educación a Distancia"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias de la Salud Universidad Tecnológica Atlántico-Mediterráneo","Almudena de Leiva","Ciencias Económicas","Universidad CEU Cardenal Herrera"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Información Universidad de Extremadura","Florentino Requena Vega",Humanidades,"Universidad Antonio de Nebrija"
"Mejorar Instalaciones deportivas facultad de Arquitectura Universidad de Salamanca","Yago Miró Belda",Humanidades,"Universidad del País Vasco"
"Mejorar Instalaciones deportivas facultad de Filosofía Universidad Politécnica de Valencia","Angelino Iborra Torrens",Agronomía,"Universidad Politécnica de Cataluña"
"Quitar las restricciones al acceso a instalaciones deportivas Derecho Universidad de Extremadura","Amancio Carreras Barral",Información,"Universidad Carlos III de Madrid"
"Quitar las tarifas de pago en el parking de estudiantes Agronomía Universidad de Vich","Eutimio del Haro",Información,"Universidad de Lérida"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias Económicas Universidad de Jaén","Gilberto Abascal Macias","Ciencias Exactas","Universidad Europea de Canarias"
"Quitar las tarifas de pago en el parking de estudiantes Matemática Universidad de Granada","Magdalena Simó Téllez",Matemática,"Universidad Internacional Menéndez Pelayo"
"Quitar las tarifas de pago en el parking de estudiantes Matemática Universidad Católica de Valencia San Vicente Mártir","Griselda Chaparro Páez",Comunicación,"Universidad Camilo José Cela"
"Quitar las tarifas de pago en el parking de estudiantes Información Universidad Fernando III","Carolina Cruz Lastra",Diseño,"Universidad Rovira i Virgili"
"Quitar las restricciones al acceso a instalaciones deportivas Educación Física Universidad Rovira i Virgili","Juan Alberto",Arquitectura,"Universidad de Oviedo"
"Mejorar Instalaciones deportivas facultad de Información Universidad de Vich","Espiridión Diaz Castells",Agronomía,"Universidad Pública de Navarra"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Diseño Universidad Europea de Madrid","Rosaura Portero-Prada","Ciencias Físicas y Matemáticas","Universidad Internacional de Valencia"
"Quitar las tarifas de pago en el parking de estudiantes Derecho Universidad Autónoma de Barcelona","Candelario Seco Sáenz","Educación Física","Universidad Autónoma de Barcelona"
"Quitar las restricciones al acceso a instalaciones deportivas Psicología Universidad Abierta de Cataluña","Clementina Redondo-Huertas",Matemática,"Universidad de Oviedo"
"Mejorar Instalaciones deportivas facultad de Arquitectura ESIC Universidad","Daniel Piñeiro Blanca","Educación Física","Universidad Miguel Hernández de Elche"
"Quitar las restricciones al acceso a instalaciones deportivas Derecho Universidad Pablo de Olavide","América Falcó",Información,"Universidad de Vich"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Sociales European University Vitoria-Gasteiz","Ariadna de Soria",Química,"Universidad Nacional de Educación a Distancia"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Sociales Universidad del País Vasco","Jafet Iglesias Cerro",Agronomía,"Universidad de Burgos"
"Mejorar Instalaciones deportivas facultad de Ingeniería Universidad de Córdoba","Reyes Marcos Castrillo Antón",Derecho,"Universidad Católica Santa Teresa de Jesús de Ávila"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Psicología Universidad Europea del Atlántico","Nando Cordero Marin",Psicología,"Universidad de Sevilla"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Físicas y Matemáticas ESIC Universidad","Herberto Pinedo",Comunicación,"Universidad de Huelva"
"Quitar las tarifas de pago en el parking de estudiantes Química Universidad San Jorge","Ismael Quero","Educación Física","Universidad Internacional Villanueva"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Química Universidad de La Coruña","Bartolomé Carro Múgica","Ciencias Económicas","Universidad Rovira i Virgili"
"Mejorar Instalaciones deportivas facultad de Ciencias de la Salud Universidad de La Coruña","Dionisio del Villanueva",Medicina,"Universidad San Jorge"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ingeniería Universidad CEU Cardenal Herrera","Gema Escamilla Múñiz",Comunicación,"Universidad Abad Oliva CEU"
"Quitar las restricciones al acceso a instalaciones deportivas Filosofía Universidad Católica Santa Teresa de Jesús de Ávila","Leonardo Gras Villalobos",Humanidades,"Universidad de Vigo"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Odontología Universidad de Lérida","Víctor Pulido-Reguera",Ingeniería,"Universidad de La Rioja"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Económicas Universidad de Barcelona","Marcial Cuervo Vives",Arquitectura,"Universidad de Cádiz"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias Exactas Universidad Alfonso X el Sabio","Primitivo Vallés Pazos",Filosofía,"Universidad de León"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Exactas Universidad Católica San Antonio","Aitor Soria García","Ciencias Exactas","Universidad de La Rioja"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Veterinaria Universidad Internacional de Andalucía","Wálter Ballesteros Estevez","Ciencias Físicas y Matemáticas","Universidad del País Vasco"
"Quitar las tarifas de pago en el parking de estudiantes Veterinaria Universidad Fernando Pessoa-Canarias","Socorro Boix Gelabert",Información,"Universidad de La Rioja"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Comunicación Universidad de La Rioja","Leopoldo Alemany Pla",Matemática,"Universidad Pompeu Fabra"
"Quitar las tarifas de pago en el parking de estudiantes Filosofía Universidad de Gerona","Florentina Chacón Solana",Arquitectura,"Universidad San Jorge"
"Quitar las tarifas de pago en el parking de estudiantes Filosofía Universidad Ramon Llull","Samanta Figuerola Toledo","Ciencias Físicas y Matemáticas","Universidad de Salamanca"
"Quitar las restricciones al acceso a instalaciones deportivas Medicina Universidad de Las Palmas de Gran Canaria","Jeremías Manuel Burgos Tirado",Agronomía,"Universidad Europea del Atlántico"
"Quitar las tarifas de pago en el parking de estudiantes Derecho Universidad Miguel Hernández de Elche","Nicanor Gallart-Yáñez","Ciencias de la Salud","Universidad de Navarra"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias de la Salud Universidad de las Islas Baleares","Yésica Cabañas Verdugo","Ciencias Sociales","Universidad de León"
"Quitar las tarifas de pago en el parking de estudiantes Ciencias de la Salud Universidad de La Coruña","Teodoro Montserrat Oliver",Ingeniería,"Universidad Europea de Madrid"
"Mejorar Instalaciones deportivas facultad de Química Universidad Alfonso X el Sabio","Gilberto Lopez Cantón",Comunicación,"Universidad de Oviedo"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Arquitectura Universidad de Deusto","Saturnina Rodriguez-Girona","Ciencias de la Salud","Universidad Tecnológica Atlántico-Mediterráneo"
"Quitar las tarifas de pago en el parking de estudiantes Información Universidad Internacional Villanueva","Arturo Águila-Riquelme",Filosofía,"Universidad Alfonso X el Sabio"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias Sociales Universidad de Valladolid","Eligia Portero-Suárez",Diseño,"Universidad de Murcia"
"Mejorar Instalaciones deportivas facultad de Arquitectura Universidad Fernando III","Tecla Alondra Casal Gaya",Diseño,"Universidad Europea de Valencia"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Química Universidad de Extremadura","Blas Galindo Baeza","Ciencias Económicas","Universidad Eclesiástica San Dámaso"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Veterinaria Universidad de Lérida","Saturnino Villalonga Arnal",Veterinaria,"Universidad de Alcalá"
"Quitar las tarifas de pago en el parking de estudiantes Ingeniería Universidad Tecnológica Atlántico-Mediterráneo","Edgardo Francisco Gimeno",Comunicación,"Universidad de Salamanca"
"Quitar las tarifas de pago en el parking de estudiantes Diseño Universidad Miguel Hernández de Elche","Rosa María Sáenz Pedrosa",Matemática,"Universidad Complutense de Madrid"
"Quitar las tarifas de pago en el parking de estudiantes Odontología Universidad Europea Miguel de Cervantes","Luna del Galvez",Humanidades,"Universidad Loyola Andalucía"
"Quitar las restricciones al acceso a instalaciones deportivas Derecho Universidad Politécnica de Cartagena","Tomás Olmedo Cuervo","Ciencias de la Salud","Universidad Camilo José Cela"
"Quitar las tarifas de pago en el parking de estudiantes Psicología Universidad de Valladolid","Bautista del Galán",Odontología,"Universidad de Lérida"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Agronomía Universidad Internacional Villanueva","Bernabé Galán Feijoo",Psicología,"Universidad de Alicante"
"Mejorar Instalaciones deportivas facultad de Ciencias Sociales Universidad Abad Oliva CEU","Luna Jordán Bermejo",Derecho,"Universidad Politécnica de Valencia"
"Mejorar Instalaciones deportivas facultad de Medicina Universidad de las Islas Baleares","Milagros del Llabrés",Veterinaria,"Universidad de Almería"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Ciencias Físicas y Matemáticas Universidad IE","Vanesa Emilia Nicolás Nebot","Ciencias Físicas y Matemáticas","Universidad de Alicante"
"Quitar las restricciones al acceso a instalaciones deportivas Diseño Universidad Pontificia Comillas","Esteban Alvarez Gabaldón",Odontología,"Universidad de Barcelona"
"Mejorar Instalaciones deportivas facultad de Diseño Universidad del País Vasco","Domingo Fonseca Cabezas","Ciencias Económicas","Universidad de Extremadura"
"Quitar las tarifas de pago en el parking de estudiantes Comunicación Universidad Internacional de Valencia","Genoveva de Barba",Psicología,"Universidad de Almería"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Medicina Universidad de Castilla-La Mancha","Maximiano Moreno Serna",Matemática,"Universidad Rey Juan Carlos"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Matemática Universidad de Oviedo","Toño Plaza Salazar","Ciencias Sociales","ESIC Universidad"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Química Universidad de Zaragoza","Amílcar Cuadrado-Coloma",Información,"Universidad Internacional de la Empresa"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Medicina Universidad Internacional de La Rioja","Isidro de Losada",Psicología,"Universidad Abad Oliva CEU"
"Quitar las tarifas de pago en el parking de estudiantes Ciencias Económicas Universidad de Murcia","Caridad Murcia Blasco","Ciencias Físicas y Matemáticas","Universidad de Navarra"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias Físicas y Matemáticas Universidad Complutense de Madrid","Samu Quevedo","Educación Física","Universidad Fernando Pessoa-Canarias"
"Mejorar Instalaciones deportivas facultad de Derecho Universidad de Castilla-La Mancha","Adelia Gala Marcos Salinas",Diseño,"Universidad de Deusto"
"Quitar las tarifas de pago en el parking de estudiantes Información Universidad Nacional de Educación a Distancia","Lope Amor Sainz","Ciencias de la Educación","Universidad de Salamanca"
"Quitar las tarifas de pago en el parking de estudiantes Arquitectura Universidad Pontificia de Salamanca","Esteban Luis Ángel Armengol Bas",Ingeniería,"Universidad Europea de Canarias"
"Quitar las restricciones al acceso a instalaciones deportivas Diseño Universidad de Huelva","Nilo Barrios Estévez",Veterinaria,"Universidad Internacional de Cataluña"
"Quitar las tarifas de pago en el parking de estudiantes Ciencias Físicas y Matemáticas Universidad de Valencia","Ruperto Corbacho Cerdán",Comunicación,"Universidad de Murcia"
